doi,abstract,participatory_method,participatory_method_rationale,green_infrastructure_intervention,green_infrastructure_rationale,rating
10.3390/su17031329,"This paper presents the role of soil nematodes as bio-indicators of the functioning of soil-plant beds in hydrophytic vertical-flow constructed wetland (VFCW) wastewater treatment plants. This study aimed to determine the abundance and trophic composition of nematode populations in seven soil-plant beds, the third component of plant-based wastewater treatment plants designed as Nature-Based Solutions (NBSs), in line with blue-green infrastructure and the closed-loop economy. The technology of this type of treatment plant is also in line with the idea of sustainability due to the very low energy requirements of the wastewater treatment system. In addition, soil nematodes were analysed in the soil adjacent to the WWTPs to assess the differences in trophic structure between these environments. The average nematode abundance in the soil-plant beds ranged from 606,000 [N<middle dot>m-2] to 1,982,000 [N<middle dot>m-2], with bacterivorous nematodes being the most abundant trophic group (61-73% of the population). This study's results confirmed that soil-plant beds are abundantly populated by bacteria participating in key organic matter decomposition processes and nitrogen and phosphorus compound transformations, contributing to adequate wastewater treatment. The dominance of bacterivorous nematodes indicates a practical support of physicochemical and biological processes that reduce pollutant concentrations and eliminate pathogenic bacteria flowing into the deposits with the wastewater.",false,No participatory methods described; the study uses nematode community analyses in soils and constructed wetlands.,true,Investigates soil-plant beds in hydrophytic vertical-flow constructed wetlands as Nature-Based Solutions / blue-green infrastructure for wastewater treatment.,1
10.1002/ppp3.10639,"Societal Impact StatementIndia has a long history of planting trees to restore ecosystem services providing an opportunity to evaluate long-term ecosystem restoration processes. We show that these programs have shifted over time in response to public demands as well as through changes in the government's vision for forests. These shifts point towards opportunities and limits for political responsiveness in the design and implementation of restoration programs. Independent evaluations have shown that the tree planting programs we study often fail to achieve their goals, raising questions about their benefits, and risks from positioning tree planting as a panacea for social and environmental problems.Summary Aims: Interest in forest restoration has increased in recent years with the goal of increasing carbon storage, protecting biodiversity, and improving the delivery of ecosystem services to aid rural livelihoods. However, there is little systematic analysis of how this trend relates to broader histories of landscape interventions. Methods: We analyze a dataset comprising 36 years of government plantation records from the forest department of the Indian Himalayan state of Himachal Pradesh. Findings: Restoration-oriented tree planting peaked in the 1980s and 1990s with heavy domestic funding. Counter to dominant policy narratives, most plantation programs did not formally involve the participation of local people and were not funded by donors or carbon markets. Over time, planting shifted away from commercial timber species towards a more diverse set of native broadleaf species, reflecting local preferences for the production of firewood, fodder, and other non-timber forest products and ecosystem services as well as changing conceptions by government agencies about what and who a forest is meant to serve. Over time, the number of programs sponsoring tree planting has proliferated, reflecting the ways that tree planting has been framed as the solution to a growing number of problems, ranging from poverty alleviation to climate adaptation. Conclusion: The current global focus on forest restoration and nature-based climate solutions represents a reframing of long-existing policies and programs in this region. As with past policy changes, restoration practices are likely to be influenced by long-term histories, entrenched practices, and local political influences.",false,Study relies on government plantation records and historical policy analysis; no participatory research methods are described.,true,"Tree planting and restoration programs constitute green infrastructure in landscape-scale restoration, with shifts in species and governance that influence ecosystem services.",1
10.1016/j.landusepol.2024.107439,"Urban Nature-based Solutions (NBS) are increasingly employed in research and practice to address the pressing environmental, social and economic challenges affecting cities. Nonetheless, there is a noticeable lack of an overview of the scholarship on the use of NBS in the Global South (GS) focusing especially on urban contexts, even though GS cities face unique socio-ecological challenges that could be addressed with NBS, as cost-effective and sustainable alternatives to grey infrastructural interventions. Through a systematic literature review, this article aims to examine the extent to which NBS are discussed in academic literature regarding the GS. The results show that NBS in the GS are mobilised especially to address two cross-cutting issues: rapid urbanization and informal settlements, and the impacts of climate change. NBS actions are explored both to incorporate nature into the urban environment and to “re-naturalise” existing urban areas. Water-related NBS types are the most numerous, and some research gaps highlighted are the need to further explore NBS for food safety and the lack of sufficient emphasis on reducing the Urban Heat Island effect (UHI), emphasising the importance of considering the social and economic context for the inclusion of NBS in the urban policy agenda. In terms of challenges related to the implementation and the mainstreaming of NBS adoption in urban agendas, the research highlights the problems of awareness, information accessibility, and financial sustainability. Finally, the review also raises the question of the involvement of external actors, while stressing the need to balance this involvement to avoid undermining local institutional capacity and public sector participation in the planning and implementation of NBS.",false,Systematic literature review; no participatory methods described.,false,A literature review on NBS in the Global South; not reporting a concrete urban greening intervention.,1
10.3390/su17051983,"Flood risks are escalating globally due to unplanned urban expansion and the impacts of climate change, posing significant challenges for urban areas and necessitating effective mitigation strategies. Nature-based solutions (NBSs) have emerged as innovative and sustainable approaches for managing flood risks. The International Union for Conservation of Nature (IUCN) defines NBSs as actions that conserve, manage, and restore natural and modified ecosystems to address societal concerns while benefiting both people and the environment. This research focuses on developing NBS strategies for the most flood-prone area within Kochi, a city highly vulnerable to flooding. The study begins with a comprehensive site examination to identify flood sources and causes in Kochi, aiding in selecting flood vulnerability indicators. An analytical framework incorporating flood risk assessment and exposure studies using physical and social indicators, alongside GIS mapping techniques, revealed that approximately half of Kochi is affected. The study identified key vulnerability hotspots, particularly within the Central Business District (CBD), where high population density and inadequate infrastructure exacerbate flood risks. Proposed NBS interventions include restoring natural floodplains, enhancing canal capacities, creating urban forests, and establishing green infrastructure like permeable pavements and rainwater harvesting systems. Key findings emphasize the effectiveness of integrating NBSs with traditional flood management strategies, forming a mixed flood control system. These interventions mitigate flood risks, improve biodiversity, reduce the urban heat island effect, and enhance community well-being. Importantly, the research underscores the role of public participation and community-driven maintenance plans in ensuring the sustainability of NBS interventions. Aligning these strategies with Kochi's Master Plan 2040 ensures coherence with broader urban planning and climate resilience goals. The research anticipates changes in climate, land use patterns, and urban dynamics to inform NBS suitability in Kochi. Ultimately, the research demonstrates how implementing NBSs can deliver a range of socio-environmental benefits, significantly influencing urban development in vulnerable zones. By advocating for the integration of NBSs into urban infrastructure planning, this study offers a blueprint for resilient and sustainable flood management strategies that are applicable to other coastal cities facing similar challenges.",,The abstract mentions public participation as a component of NBS interventions but does not specify whether participatory methods were used in the research design or data collection.,true,"Proposes and discusses the implementation of nature-based solutions (NBS) such as restoring floodplains, canal enhancements, urban forests, permeable pavements, and rainwater harvesting.",1
10.3389/ffgc.2024.1450098,"Introduction Climate change represents one of the most pressing challenges confronting contemporary societies. Despite occupying a relatively small proportion of the Earth's surface, cities contribute disproportionately to greenhouse gas emissions. Urban forests, as a vital form of natural infrastructure, play a critical role in mitigating the adverse impacts of climate change. Effective management and conservation of these resources necessitate active engagement from diverse stakeholder groups, with women being a particularly important demographic. However, generational differences in women's perceptions of climate change and their willingness to participate in urban forest conservation have received limited investigation. This study seeks to address this gap by comparing the perceptions and conservation participation intentions of two groups of women: those belonging to Generation Z and women from earlier generations.Methods The sample comprised 401 women from Generation Z and 395 women from other generations. Data for the study were collected using a questionnaire administered through a multi-stage cluster sampling method. The collected data encompassed participants' awareness of climate change, its causes, the dual impacts of climate change and urban forests, their willingness to engage in urban forest management, and their demographic characteristics such as age, educational level, family size, family income, highest education in family, and educational levels of fathers and mothers. The analysis was conducted using both descriptive and inferential statistical methods.Results The results revealed significant generational differences in understanding climate change, recognizing the role of forests in mitigating its effects, and demonstrating willingness to engage in urban forest conservation. Across all measures, Generation Z exhibited higher levels of awareness and willingness compared to older generations. Furthermore, increased awareness of these issues in both groups was positively associated with a greater willingness to participate in urban forest management. Socio-economic factors also influenced willingness differently between the two generational groups, highlighting the nuanced effects of these variables on participation intentions.Discussion The results showed althought differences in awareness were observed between the two groups, increased awareness consistently led to a heightened willingness among both groups to participate in urban forest conservation. These findings underscore the importance of adopting intergenerational perspectives on climate change, emphasizing that educational and promotional programs must be tailored to account for generational differences to effectively maximize engagement and foster widespread participation in urban forest conservation efforts.",false,Quantitative questionnaire survey; no actual participatory planning or co-design with participants.,false,"Focus on awareness and willingness to participate in urban forest conservation, not a specific green infrastructure intervention.",1
10.1371/journal.pwat.0000308,"Urban streams are often managed in ways that contribute to societal inequities. Members of marginalized groups are frequently exposed to elevated flood risk and impaired water quality, with reduced access to essential water infrastructure and greenspace within stream corridors. The freshwater science research community has traditionally argued for stream management that improves ecological integrity, which can have the unintended consequence of steering investments away from the most degraded streams, which are often in low-income neighborhoods. We argue that it is time to reorient municipal stream management programs towards the objective of equitable delivery of benefits, which can take many forms, and to de-emphasize the goal of restoring streams to the pre-development ecological condition. To meet the objective of equitable delivery of benefits, municipalities will need to establish systems of collaborative governance, in which community organizations are empowered to participate as equal partners in urban stream management decision-making. We recognize the many practical challenges municipalities face in making these transitions, which will vary by country and region. Here, we identify some opportunities and highlight case studies illustrating how some communities are taking steps toward more equitable urban stream management.",,"The abstract discusses collaborative governance and community empowerment but does not specify any participatory research methods (e.g., participatory mapping, co-design).",true,"Focus on equitable urban stream management which includes greenspace corridors (blue-green infrastructure) and its governance; GI context is central, though the emphasis is on governance rather than a specific implementation.",1
10.3390/land14020419,"With the increasing frequency of extreme rainfall events, enhancing urban drainage systems' regulation capacity is crucial for mitigating urban flooding. Existing studies primarily analyze infrastructure impacts on peak flow delay but often lack a systematic exploration of time-lag mechanisms. This study introduces the time-lag parameter, using the hysteresis curve of the water level-flow rate relationship to quantify drainage system dynamics. An SWMM-based drainage model was developed for the Rongdong area of Xiong'an New District to evaluate the independent roles of green, gray, and blue infrastructures in peak flow reduction and time-lag modulation. The results indicate that green infrastructure extends the horizontal width and reduces the vertical height of the hysteresis curve, prolonging time lag and making it effective for small-to-medium rainfall. Gray infrastructure enhances drainage efficiency by compressing the hysteresis curve horizontally and increasing its vertical height, facilitating rapid drainage but offering limited peak reduction. Blue infrastructure, by lowering outlet water levels, improves drainage capacity and reduces time lag, demonstrating adaptability across various rainfall scenarios. This study systematically quantifies the role of each infrastructure type in time-lag regulation and proposes a collaborative optimization strategy for urban drainage system design.",false,No participatory methods reported; the study uses numerical modeling and infrastructure analysis.,true,"Evaluates the roles of green, blue, and gray infrastructure in urban drainage and time-lag regulation using a Swmm-based model.",1
10.3390/buildings15020292,"Green open space in high-density cities has positive significance in terms of improving the quality of the living environment and solving problems such as “urban diseases”. Taking the high-density urban districts of the Macau Peninsula and Monaco as examples, this study divides the planning index of open space green quantity into two dimensions: the blue-green spaces occupancy rate (BGOR) within urban land areas and the blue-green spaces visibility rate (BGVR) of the main streetscape. Using satellite remote-sensing maps, GIS databases, and street-view images, this study evaluates the current green quantity in both regions and compares them to identify best practices. This study aims to assess and enhance the green quantity found in the open spaces of high-density cities, using the Macau Peninsula and Monaco as case studies. The primary research questions are as follows: (1) How can the green quantity in open spaces be effectively measured in high-density urban environments? (2) What planning strategies can be implemented to increase the green quantity and improve the urban living environment in such areas? Therefore, this study proposes planning strategies such as three-dimensional greening, converting grey spaces to green spaces, and implementing policies to encourage public participation in greening efforts. These strategies aim to enhance the green quantity in open spaces, thereby improving the urban living environment in high-density cities like Macau and providing a reference for similar urban areas in the world.",false,No participatory research methods described; public participation is framed as a policy goal rather than data collection or stakeholder engagement in the study,true,"Proposes planning strategies to increase blue-green spaces and greening (e.g., 3D greening, converting grey to green), i.e., urban greening interventions",1
10.3390/su17010003,"Urbanization is a rapidly accelerating global phenomenon that challenges sustainable development, requiring innovative frameworks for understanding and managing urban complexity. This study explores the application of Complexity Theory in sustainable urban development, framing cities as Complex Adaptive Systems (CAS), where dynamic social, economic, environmental, and technological interactions generate emergent behaviors. A systematic literature review was conducted, analyzing 91 studies retrieved from Scopus that explicitly link Complexity Theory to urban sustainability. Key findings reveal trade-offs, such as balancing economic growth with ecological preservation and social equity, while emphasizing the role of self-organization and adaptive governance in enhancing urban resilience. Concrete examples include the application of fractal analysis in urban planning to predict sprawl and optimize infrastructure and the use of system dynamics models to align smart city initiatives with United Nations Sustainable Development Goals. Wider co-benefits identified include improved public health through integrated green infrastructure and the reinforcement of social cohesion via participatory urban planning. This research concludes that embracing Complexity Theory enables a holistic approach to urban sustainability, fostering adaptable, resilient systems that can better manage uncertainty. This study highlights the need for interdisciplinary collaboration and innovative policy frameworks to navigate the multifaceted challenges of modern urbanization.",true,"The abstract discusses participatory planning and adaptive governance as part of urban sustainability and GI governance, indicating attention to participatory methods in urban greening contexts.",false,No specific GI intervention is described or evaluated; GI is discussed only as a theoretical co-benefit within the complexity framework.,1
10.3390/land14010043,"Informal green spaces (IGSs) are vital yet under-researched urban areas that enhance biodiversity, provide ecosystem services, and improve the well-being of urban residents. However, the lack of a consistent definition and comprehensive understanding of their multifunctional roles has hindered their effective integration into urban planning. The current literature review aimed to clarify the concept of IGSs, analyze research trends, and identify further research areas. Using a combined bibliometric and systematic analysis approach, 150 articles from the Web of Science database, published from 1996 to 2024, were analyzed. The systematic analysis identified 54 relevant documents on the effects of green areas, revealing a diverse and growing body of research on IGSs, including their types, distribution, and socioeconomic contexts. The findings indicated an increasing trend in collaborative studies, using “informal green space” as the official term. This review proposed a clear and comprehensive definition of IGS, emphasizing its visibility, lack of formal recognition, minimal management, spontaneous vegetation, and temporary nature and underscoring its substantial environmental and social benefits. Furthermore, this review highlighted the need for standardized definitions and interdisciplinary studies to fully harness the potential of IGSs, thereby emphasizing their essential contribution to urban biodiversity and the regulation of urban microclimates.",false,Literature review and bibliometric/systematic analysis; no participatory data collection or involvement,false,"Review of informal green spaces and their societal/environmental roles, not an implementation of a green infrastructure intervention",1
10.3390/su17031099,"Based on complex system theory and multi-dimensional coupling analysis paradigm, this study constructs a dynamic model covering land use, real estate development, and carbon emissions, and deeply explores the internal mechanism and evolution law of land development system in the process of moving toward a low-carbon path. Firstly, through nonlinear dynamics and bifurcation analysis, this study identifies three typical transformation paths that the system may experience: gradual, transitional, and hybrid, emphasizing the nonlinear, phased, and highly context-dependent characteristics of the transformation process. On this basis, early warning indicators and robustness analysis methods are introduced, which provide operational tools for identifying critical turning points in the system and improving the effectiveness and resilience of regulatory strategies. Furthermore, this paper proposes a multi-level regulation mechanism design framework, which combines the immediate feedback with the historical cumulative effect to achieve the refined guidance of land development patterns and carbon emission paths. The results provide a scientific basis and practical enlightenment for land use optimization, green infrastructure construction, and industrial structure adjustment under the background of realizing the “3060” dual carbon goal and the reform of territorial spatial planning in China. In the future, it is necessary to strengthen the empirical calibration of parameters, data-driven optimization, and collaborative research of multiple policy tools to further improve the applicability and decision-making reference value of the model.",false,"No participatory methods are described; the study uses nonlinear dynamics, regulatory design, and policy analysis rather than stakeholder participation processes.",true,Mentions green infrastructure construction as part of land-use optimization and carbon-emission pathways within urban planning and regulatory frameworks.,1
10.3390/su17020502,"The conversion of open space to residential development increasingly continues across the United States, impacting both humans and nature. Residential development requires public input to generate meaningful places and understand contextually relevant priorities. Most municipal policies do not guarantee the provision of open spaces when residential development occurs, missing opportunities for benefits to those communities and reducing both environmental and spatial justice. This study operated a seven-state verbal questionnaire to collect and analyze a small-sample population perceptions concerning open space conservation and green space preferences towards future residential development priorities. Statistical analytical results indicated patterns, trends, and relationships within data. Although 46% of United States residents living in rural, suburban, and urban community types believe the amount of open space required in new developments should be determined on a case-by-case basis, just under half believe that requiring at least 50% open space in new developments is appropriate. More than half of Americans in the states targeted, particularly Colorado and liberal-leaning respondents, believe a lack of coherent planning will prevent open space conservation and that open space planning and conservation should be a priority for city governments. Beyond the United States, this study provides research and insight into conservation strategies that foster healthier landscapes and living environments globally.",false,Verbal questionnaire survey to collect perceptions; no participatory planning or co-design described.,false,Study focuses on open space conservation preferences rather than implementing a green infrastructure intervention.,1
10.17645/si.9041,"Despite a strong participatory discourse on the healthy city movement, researchers and activists indicate that low-income groups and city areas often are excluded from participatory urban development and do not benefit from healthy city policies. To better understand the challenges that citizens who promote a healthy urban environment in low-income areas face, we analyzed the infrastructural work of a citizens' initiative. We focused on their building of a socio-material infrastructure in an empty park surrounded by neighborhoods the municipality and other organizations classified as problematic in multiple ways. The infrastructural work consisted of experiments to attract new publics; regular work to revive a neglected garden; and negotiations with the municipality about new trees, natural play elements, and other additions to the park. However, residents' work was thwarted by institutional control over the neighborhood public and by unreliable bureaucratic interactions that resulted in endless waiting, adaptations, and failures. In this setting, citizens adjusted their infrastructural work by establishing new alliances and engaging in “garden diplomacy” to maintain constructive relationships and a hopeful perspective. The work citizens do to make new local publics should be acknowledged. Moreover, institutional obduracy and bureaucratic ambiguities form a hostile environment for citizen participation. We characterize this hostile environment as shaped by a “residual realism” that reproduces problem neighborhoods. We end with our contribution to a co-constructionist approach to public participation.",true,"Qualitative analysis of a citizens' initiative, garden diplomacy, and co-construction of public participation in urban greening processes.",true,"Park greening actions (trees, natural play elements, garden revival) implemented through citizen-led infrastructural work.",3
10.3390/socsci14010013,"The & iquest;D & oacute;nde Vive la Ciencia en su Comunidad? (where does science live in your community?) photovoice project is a community-based participatory research project that investigates the presence and influence of science within local environments. In collaboration with researchers, science, technology, engineering, mathematics (STEM) educators, and community members from the Latine community in Corona, Queens, the project investigated where science is found in our communities. Community researchers used photography to document their surroundings and identified key themes related to the role of science through technology, community health, safety, and wellness. The photovoice method elevated social justice issues through critical dialog, creating opportunities for change through collective action. Among the critical issues discussed were urban planning, specifically the impacts of gentrification on the local community and the possibilities that greening offered as a site of agency, multigenerational learning, and resistance through ways of knowing. Community researchers examined the dual nature of STEM as both a tool of control and a means for justice, interrogating whose voices and experiences are prioritized in decision-making processes. Establishing shared green spaces emerged as an act of epistemic disobedience and resistance for sustaining community health and cultural identity. The project highlights how collaborative, community-led initiatives promote the reclamation of political power through collective action and disrupt colonizing forces, offering actionable recommendations for policy, research, and practice to guide justice-oriented change.",true,Photovoice as a participatory method within a community-based participatory research framework to explore science in the community and mobilize collective action.,true,Focus on the establishment and use of shared green spaces as urban greening infrastructure informed by community-led action and justice-oriented change.,3
10.1371/journal.pone.0317691,"To promote collaborative governance of PM2.5 and O-3 pollution, understanding their spatiotemporal patterns and determining factors is crucial to control air pollution in China. Using the ground-monitored data encompassing PM2.5 and O-3 concentrations in 2019 across 337 Chinese cities, this study explores the spatiotemporal patterns of PM2.5 and O-3 concentrations, and then employed the Multi-scale Geographically Weighted Regression (MGWR) model to examine the socioeconomic and natural factors affecting PM2.5 or O-3 concentrations. The results show that PM2.5 and O-3 concentrations exhibit distinct monthly U-shaped and inverted U-shaped temporal fluctuation patterns across Chinese cities, respectively. Spatially, both pollutants manifest spatial clustering characteristic and a certain degree of bivariate spatial correlation. Elevated PM2.5 concentrations are predominantly concentrated on north and central China, as well as the Xinjiang Autonomous Region, whereas higher O-3 concentrations are distributed widely across north, east, and northwest China. The MGWR model outperforms traditional OLS and global spatial regression models, evidenced by its enhanced goodness-of-fit metrics. Specifically, the R-2 values for the PM2.5 and O-3 MGWR models are notably high, at 0.842 and 0.861, respectively. Socioeconomic and natural factors are found to have multi-scale spatial effects on PM2.5 and O-3 concentrations in China. On average, PM2.5 concentrations show positively correlations with population density, the proportion of the added value of secondary industry in GDP, wind speed, relative humidity, and atmospheric pressure, but negatively relationship with per capita GDP, road density, urban greening, air temperature, precipitation, and sunshine duration. In contrast, O-3 concentrations are also positively associated with population density, the proportion of the added value of secondary industry in GDP, energy consumption, precipitation, wind speed, atmospheric pressure, and sunshine duration, but negatively correlated with per capita GDP, road density, and air temperature. Our findings offer valuable insights to inform the development of comprehensive air pollution management policies in in developing countries.",false,Quantitative observational study using ground-monitor data and MGWR; no participant involvement.,false,No evaluation or implementation of urban greening interventions; study focuses on drivers of air pollutants,1
10.1016/j.forpol.2024.103366,"Planting trees with additional non-timber products (NTFPs) (such as fruits) in agricultural lands is emerging as an important strategy in Forest Landscape Restoration (FLR) to enhance the provision of ecosystem services and improve habitat quality. In many cases, the planting of NTFP trees follows a transition from collecting NTFPs in natural forests to integrating the respective trees into agricultural farms with ecological and socio-economic implications. Therefore, understanding the current practice and challenges of current NTFP collection and willingness for cultivation is crucial to effectively use such land-use trajectories for FLR. In this study, we investigate the case of Caesalpinia spinosa (tara), whose fruits provide an emerging NTFP in southern Ecuador. Using household data from 125 households currently collecting tara fruits, we first describe the relatively young production system and then use a Heckman two-step econometric model to identify the factors influencing the expressed willingness to cultivate tara trees on farms and the area to be cultivated. The econometric model results show that the characteristics of tara collection and trade (gender of collectors, distance to the collection site, and management practices) are important determinants of tara cultivation. However, it's the household labor availability and farm characteristics that play a significant role in impacting the willingness to cultivate. The area to be cultivated was mainly influenced by household labor and economic characteristics, and tara collection and trade (management practices) characteristics. Our findings help to understand NTFP-related landuse transitions, thus supporting the design of appropriate and specific policy interventions for the sustainable development of NTFPs.",false,Describes analysis of household survey data and econometric modeling; no participatory stakeholder engagement described.,false,Focus on NTFP-tree cultivation in FLR rather than urban green infrastructure interventions.,1
